;Volumenes;Capitulos;Status;Año;Generos;Temas;Demografia;Editorial;Autor;Lectores
280; 9; 35; Finished; Jan  28, 2011 to Nov  28, 2013;['Action', 'Drama', 'Mystery', 'Sci-Fi'];;['Shoujo'];"
ARIA";"
Asano, Atsuko (Story), Kino, Hinoki (Art)"; 50,926
281; 7; 138; Finished; May  21, 2009 to Sep  27, 2012;['Comedy'];['Gag Humor', 'School'];;"
Gangan Online";"
Yamauchi, Yasunobu (Story & Art)"; 27,025
282; 4; 19; Finished; May  19, 2012 to Jan  18, 2014;['Adventure', 'Sci-Fi'];;['Seinen'];"
Ultra Jump";"
Nitroplus (Story), Nariie, Shinichirou (Art)"; 5,162
283; Unknown; Unknown; Publishing; May  22, 2013 to ?;['Boys Love', 'Drama', 'Slice of Life'];['School'];;"
RuTile";"
Tagura, Tohru (Story & Art)"; 15,919
284; 22; 196; Finished; Sep  8, 2016 to Oct  8, 2020;['Award Winning', 'Drama', 'Slice of Life'];['Anthropomorphic', 'Psychological'];['Shounen'];"
Shounen Champion (Weekly)";"
Itagaki, Paru (Story & Art)"; 118,482
285; 3; 19; Finished; Oct  22, 2016 to Dec  27, 2019;['Boys Love', 'Slice of Life'];;;"
Canna";"
Fumino, Yuki (Story & Art)"; 8,544
286; 12; 123; Discontinued; Jan  22, 2018 to Aug  11, 2020;['Drama'];['Performing Arts', 'Showbiz'];['Shounen'];"
Shounen Jump (Weekly)";"
Matsuki, Tatsuya (Story), Usazaki, Shiro (Art)"; 54,263
287; 13; 139; Finished; Oct  23, 2017 to Feb  1, 2021;['Mystery', 'Supernatural', 'Suspense'];['Time Travel'];['Shounen'];"
Shounen Jump+";"
Tanaka, Yasuki (Story & Art)"; 57,358
288; 13; 128; Finished; Jan  22, 2018 to Jan  25, 2021;['Action', 'Fantasy'];['Historical'];['Shounen'];"
Shounen Jump+";"
Kaku, Yuuji (Story & Art)"; 177,735
289; 12; 43; Finished; Dec  6, 1997 to Sep  30, 2010;['Drama', 'Horror', 'Mystery', 'Romance', 'Supernatural'];['Psychological'];['Shoujo'];"
Nakayoshi";"
Inada, Shiho (Story & Art), Ono, Fuyumi (Story)"; 17,105
290; Unknown; Unknown; Publishing; Aug  10, 2006 to ?;['Drama', 'Fantasy', 'Romance'];;['Shoujo'];"
LaLa DX";"
Akizuki, Sorata (Story & Art)"; 73,026
291; 26; 98; Finished;  1990 to  1998;['Action'];['Delinquents', 'School'];['Shounen'];"
Shounen Champion (Monthly)";"
Takahashi, Hiroshi (Story & Art)"; 28,746
292; 9; 77; Finished; Jun  10, 2009 to Nov  16, 2011;['Action', 'Comedy', 'Drama', 'Ecchi'];['Delinquents'];['Shounen'];"
Shounen Magazine (Weekly)";"
Fujisawa, Tooru (Story & Art)"; 25,934
293; 1; 2; Finished; Dec  13, 1995;['Action', 'Drama'];;['Shoujo'];"
Betsucomi";"
Yoshida, Akimi (Story & Art)"; 4,979
294; 16; 125; Finished; Sep  26, 2009 to Feb  26, 2021;['Slice of Life'];['CGDCT', 'Iyashikei', 'School'];['Seinen'];"
Comic Alive";"
Atto (Story & Art)"; 13,260
295; 6; 41; Finished; Jul  4, 2017 to Feb  4, 2020;['Drama', 'Mystery', 'Sci-Fi'];;['Seinen'];"
Young Ace";"
Himeno, Taka (Art)"; 6,636
296; Unknown; Unknown; Publishing; Nov  24, 2015 to ?;['Boys Love', 'Slice of Life'];['Childcare'];;"
Omegaverse Project";"
Ichikawa, Ichi (Story & Art)"; 7,656
297; 1; 7; Finished; Apr  29, 2020 to Feb  10, 2021;['Boys Love', 'Drama'];['Memoir'];;"
Bunshun Online";"
Tsukizuki, Yoshi (Art), Nanasaki, Ryousuke (Story)"; 8,384
298; 21; 127; Finished; Apr  25, 2002 to Aug  25, 2016;['Comedy', 'Drama', 'Slice of Life'];['Otaku Culture', 'School'];['Seinen'];"
Afternoon";"
Kio, Shimoku (Story & Art)"; 42,862
299; 10; 66; Finished; Mar  28, 2002 to Jun  27, 2009;['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy'];;['Josei'];"
Comic ZERO-SUM";"
Minekura, Kazuya (Story & Art)"; 8,878
300; 15; 123; Finished; Nov  12, 2002 to Jul  12, 2013;['Drama', 'Romance'];['School'];['Seinen'];"
Comic Beam";"
Shimura, Takako (Story & Art)"; 31,022
301; 18; 127; Finished; Sep  25, 1997 to Jun  25, 2008;['Action', 'Drama', 'Sci-Fi', 'Suspense'];['Gore', 'Psychological'];['Seinen'];"
Afternoon";"
Endo, Hiroki (Story & Art)"; 65,798
302; 35; 178; Finished; Oct  13, 2001 to May  27, 2017;['Action', 'Adventure', 'Award Winning', 'Drama', 'Horror', 'Mystery', 'Romance', 'Sci-Fi', 'Suspense'];['Psychological', 'Survival'];['Shoujo'];"
Flowers (Monthly)";"
Tamura, Yumi (Story & Art)"; 26,136
303; 27; 82; Finished; Aug  20, 2003 to May  20, 2012;['Adventure', 'Boys Love', 'Fantasy'];['Isekai'];['Shoujo'];"
Ichiraci";"
Sugiura, Shiho (Story & Art)"; 9,537
304; 12; 108; Finished;  1990 to  1995;['Drama', 'Suspense'];['Detective', 'Organized Crime'];['Seinen'];"
Big Comic Superior";"
Ikegami, Ryouichi (Art), Buronson (Story)"; 36,662
305; 8; 36; Finished; Jul  13, 2004 to Sep  13, 2007;['Drama', 'Romance'];['Love Polygon', 'Showbiz'];['Shoujo'];"
Bessatsu Margaret";"
Kamio, Yoko (Story & Art)"; 35,125
306; 2; 28; Finished; Jun  30, 2005 to Apr  6, 2006;['Drama', 'Slice of Life'];;['Seinen'];"
Young Sunday (Weekly)";"
Asano, Inio (Story & Art)"; 127,819
307; 9; 69; Finished; Not available;['Action'];['Mecha'];['Shounen'];"
    None";"
Ishikawa, Ken (Story & Art)"; 2,886
